Period,Data_value,Magnitude
2016.06,1116.386,6
2016.09,1070.874,6
2016.12,1054.408,6
2017.03,1010.665,6
2017.06,1233.7,6
2017.09,1282.436,6
2017.12,1290.82,6
2018.03,1412.007,6
2018.06,1488.055,6
2018.09,1497.678,6
2018.12,1570.507,6
2019.03,1393.749,6
2019.06,1517.143,6
2019.09,1381.514,6
2019.12,1370.985,6
2020.03,1073.017,6
2020.06,1131.445,6
2020.09,1440.101,6
2020.12,1489.979,6
2021.03,1390.782,6
2021.06,1826.73,6
2021.09,1710.073,6
2021.12,1559.479,6
2022.03,1285.083,6
2022.06,1684.422,6
2022.09,1665.926,6
2022.12,1501.095,6
2023.03,1209.443,6
2023.06,1424.748,6
2023.09,1414.896,6
2023.12,1453.065,6
2016.06,1061.716,6
2016.09,1055.564,6
2016.12,1053.265,6
2017.03,1083.763,6
2017.06,1175.215,6
2017.09,1261.287,6
2017.12,1285.321,6
2018.03,1522.916,6
2018.06,1418.171,6
2018.09,1466.358,6
2018.12,1563.21,6
2019.03,1512.037,6
2019.06,1443.379,6
2019.09,1349.635,6
2019.12,1363.298,6
2020.03,1168.806,6
2020.06,1076.422,6
2020.09,1403.365,6
2020.12,1481.58,6
2021.03,1516.578,6
2021.06,1740.635,6
2021.09,1663.695,6
2021.12,1548.46,6
2022.03,1403.864,6
2022.06,1607.506,6
2022.09,1616.592,6
2022.12,1489.469,6
2023.03,1325.516,6
2023.06,1359.852,6
2023.09,1368.755,6
2023.12,1442.353,6
2016.06,1026.053,6
2016.09,1066.697,6
2016.12,1053.323,6
2017.03,1090.701,6
2017.06,1172.283,6
2017.09,1253.446,6
2017.12,1332.614,6
2018.03,1396.17,6
2018.06,1429.287,6
2018.09,1480.815,6
2018.12,1539.183,6
2019.03,1522.18,6
2019.06,1433.092,6
2019.09,1365.098,6
2019.12,1363.269,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,1189.735,6
2016.09,1144.938,6
2016.12,1390.589,6
2017.03,1310.912,6
2017.06,1241.466,6
2017.09,1288.648,6
2017.12,1772.086,6
2018.03,1554.221,6
2018.06,1441.386,6
2018.09,1364.769,6
2018.12,1771.028,6
2019.03,1665.84,6
2019.06,1554.397,6
2019.09,1484.434,6
2019.12,1817.118,6
2020.03,1582.915,6
2020.06,1421.593,6
2020.09,1614.752,6
2020.12,2089.453,6
2021.03,1817.439,6
2021.06,1814.973,6
2021.09,1791.805,6
2021.12,2325.251,6
2022.03,2001.763,6
2022.06,1861.241,6
2022.09,1755.338,6
2022.12,2252.24,6
2023.03,2085.945,6
2023.06,1878.254,6
2023.09,1840.381,6
2023.12,2301.68,6
2016.06,1266.428,6
2016.09,1289.995,6
2016.12,1221.266,6
2017.03,1266.739,6
2017.06,1329.243,6
2017.09,1441.48,6
2017.12,1550.692,6
2018.03,1514.159,6
2018.06,1543.972,6
2018.09,1520.066,6
2018.12,1541.554,6
2019.03,1639.924,6
2019.06,1661.535,6
2019.09,1647.058,6
2019.12,1579.085,6
2020.03,1566.856,6
2020.06,1517.563,6
2020.09,1788.534,6
2020.12,1813.881,6
2021.03,1803.359,6
2021.06,1937.902,6
2021.09,1981.161,6
2021.12,2019.869,6
2022.03,1985.599,6
2022.06,1989.099,6
2022.09,1939.214,6
2022.12,1956.04,6
2023.03,2071.2,6
2023.06,2005.585,6
2023.09,2033.772,6
2023.12,1999.566,6
2016.06,1283.571,6
2016.09,1264.892,6
2016.12,1243.564,6
2017.03,1257.203,6
2017.06,1335.518,6
2017.09,1448.085,6
2017.12,1524.639,6
2018.03,1538.548,6
2018.06,1527.879,6
2018.09,1525.031,6
2018.12,1555.147,6
2019.03,1625.656,6
2019.06,1665.8,6
2019.09,1637.759,6
2019.12,1587.874,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,2306.12,6
2016.09,2215.81,6
2016.12,2445,6
2017.03,2321.58,6
2017.06,2475.22,6
2017.09,2571.09,6
2017.12,3062.91,6
2018.03,2966.24,6
2018.06,2929.48,6
2018.09,2862.45,6
2018.12,3341.53,6
2019.03,3059.59,6
2019.06,3071.57,6
2019.09,2865.95,6
2019.12,3188.1,6
2020.03,2655.93,6
2020.06,2553.038,6
2020.09,3054.853,6
2020.12,3579.432,6
2021.03,3208.221,6
2021.06,3641.703,6
2021.09,3501.878,6
2021.12,3884.73,6
2022.03,3286.846,6
2022.06,3545.663,6
2022.09,3421.264,6
2022.12,3753.336,6
2023.03,3295.388,6
2023.06,3303.002,6
2023.09,3255.277,6
2023.12,3754.745,6
2016.06,2332.246,6
2016.09,2348.636,6
2016.12,2276.967,6
2017.03,2338.686,6
2017.06,2503.571,6
2017.09,2716.222,6
2017.12,2851.836,6
2018.03,3001.493,6
2018.06,2959.177,6
2018.09,3013.605,6
2018.12,3112.806,6
2019.03,3106.725,6
2019.06,3101.301,6
2019.09,3008.06,6
2019.12,2968.272,6
2020.03,2706.628,6
2020.06,2578.24,6
2020.09,3197.126,6
2020.12,3329.176,6
2021.03,3281.268,6
2021.06,3678.176,6
2021.09,3656.735,6
2021.12,3608.057,6
2022.03,3372.494,6
2022.06,3583.092,6
2022.09,3564.802,6
2022.12,3483.781,6
2023.03,3386.141,6
2023.06,3340.872,6
2023.09,3389.037,6
2023.12,3481.081,6
2016.06,2312.524,6
2016.09,2335.937,6
2016.12,2295.446,6
2017.03,2340.535,6
2017.06,2508.667,6
2017.09,2701.517,6
2017.12,2869.064,6
2018.03,2956.43,6
2018.06,2979.606,6
2018.09,3021.954,6
2018.12,3094.009,6
2019.03,3121,6
2019.06,3084.432,6
2019.09,3015.282,6
2019.12,2975.763,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,1119.02,6
2016.09,1101.412,6
2016.12,1139.459,6
2017.03,1040.5,6
2017.06,1150.976,6
2017.09,1084.658,6
2017.12,1352.84,6
2018.03,1224.534,6
2018.06,1105.167,6
2018.09,1372.723,6
2018.12,1230.969,6
2019.03,1115.478,6
2019.06,1210.962,6
2019.09,1234.819,6
2019.12,1276.337,6
2020.03,1080.713,6
2020.06,847.349,6
2020.09,925.547,6
2020.12,1085.539,6
2021.03,1063.775,6
2021.06,1077.447,6
2021.09,1151.861,6
2021.12,1202.16,6
2022.03,1244.801,6
2022.06,1448.299,6
2022.09,1411.447,6
2022.12,1303.453,6
2023.03,1293.599,6
2023.06,1365.779,6
2023.09,1251.664,6
2023.12,1285.772,6
2016.06,1119.02,6
2016.09,1101.412,6
2016.12,1139.459,6
2017.03,1040.5,6
2017.06,1150.976,6
2017.09,1084.658,6
2017.12,1352.84,6
2018.03,1224.534,6
2018.06,1105.167,6
2018.09,1372.723,6
2018.12,1230.969,6
2019.03,1115.478,6
2019.06,1210.962,6
2019.09,1234.819,6
2019.12,1276.337,6
2020.03,1080.713,6
2020.06,847.349,6
2020.09,925.547,6
2020.12,1085.539,6
2021.03,1063.775,6
2021.06,1077.447,6
2021.09,1151.861,6
2021.12,1202.16,6
2022.03,1244.801,6
2022.06,1448.299,6
2022.09,1411.447,6
2022.12,1303.453,6
2023.03,1293.599,6
2023.06,1365.779,6
2023.09,1251.664,6
2023.12,1285.772,6
2016.06,1116.391,6
2016.09,1117.962,6
2016.12,1099.874,6
2017.03,1094.298,6
2017.06,1085.074,6
2017.09,1175.875,6
2017.12,1262.57,6
2018.03,1256.818,6
2018.06,1231.569,6
2018.09,1287.042,6
2018.12,1230.726,6
2019.03,1152.75,6
2019.06,1183.655,6
2019.09,1260.084,6
2019.12,1242.986,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,1119.02,6
2016.09,1101.412,6
2016.12,1139.459,6
2017.03,1040.5,6
2017.06,1150.976,6
2017.09,1084.658,6
2017.12,1352.84,6
2018.03,1224.534,6
2018.06,1105.167,6
2018.09,1372.723,6
2018.12,1230.969,6
2019.03,1115.478,6
2019.06,1210.962,6
2019.09,1234.819,6
2019.12,1276.337,6
2020.03,1080.713,6
2020.06,847.349,6
2020.09,925.547,6
2020.12,1085.539,6
2021.03,1063.775,6
2021.06,1077.447,6
2021.09,1151.861,6
2021.12,1202.16,6
2022.03,1244.801,6
2022.06,1448.299,6
2022.09,1411.447,6
2022.12,1303.453,6
2023.03,1293.599,6
2023.06,1365.779,6
2023.09,1251.664,6
2023.12,1285.772,6
2016.06,1119.02,6
2016.09,1101.412,6
2016.12,1139.459,6
2017.03,1040.5,6
2017.06,1150.976,6
2017.09,1084.658,6
2017.12,1352.84,6
2018.03,1224.534,6
2018.06,1105.167,6
2018.09,1372.723,6
2018.12,1230.969,6
2019.03,1115.478,6
2019.06,1210.962,6
2019.09,1234.819,6
2019.12,1276.337,6
2020.03,1080.713,6
2020.06,847.349,6
2020.09,925.547,6
2020.12,1085.539,6
2021.03,1063.775,6
2021.06,1077.447,6
2021.09,1151.861,6
2021.12,1202.16,6
2022.03,1244.801,6
2022.06,1448.299,6
2022.09,1411.447,6
2022.12,1303.453,6
2023.03,1293.599,6
2023.06,1365.779,6
2023.09,1251.664,6
2023.12,1285.772,6
2016.06,1116.391,6
2016.09,1117.962,6
2016.12,1099.874,6
2017.03,1094.298,6
2017.06,1085.074,6
2017.09,1175.875,6
2017.12,1262.57,6
2018.03,1256.818,6
2018.06,1231.569,6
2018.09,1287.042,6
2018.12,1230.726,6
2019.03,1152.75,6
2019.06,1183.655,6
2019.09,1260.084,6
2019.12,1242.986,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,10624.465,6
2016.09,9110.709,6
2016.12,12084.429,6
2017.03,11804.216,6
2017.06,12150.005,6
2017.09,10399.584,6
2017.12,13705.071,6
2018.03,12745.412,6
2018.06,12574.246,6
2018.09,10633.605,6
2018.12,13806.468,6
2019.03,13704.407,6
2019.06,13035.873,6
2019.09,11170.665,6
2019.12,15202.125,6
2020.03,14554.796,6
2020.06,13611.426,6
2020.09,11354.265,6
2020.12,14450.272,6
2021.03,14066.305,6
2021.06,14238.983,6
2021.09,12297.488,6
2021.12,16382.914,6
2022.03,15717.522,6
2022.06,16272.442,6
2022.09,15291.312,6
2022.12,18635.905,6
2023.03,16668.703,6
2023.06,16881.115,6
2023.09,13675.525,6
2023.12,17128.958,6
2016.06,10645.349,6
2016.09,10745.875,6
2016.12,10992.68,6
2017.03,11229.222,6
2017.06,12123.417,6
2017.09,12255.083,6
2017.12,12471.968,6
2018.03,12165.278,6
2018.06,12504.459,6
2018.09,12535.33,6
2018.12,12552.769,6
2019.03,13126.97,6
2019.06,12935.468,6
2019.09,13146.319,6
2019.12,13822.434,6
2020.03,13990.924,6
2020.06,13485.978,6
2020.09,13325.59,6
2020.12,13130.576,6
2021.03,13583.002,6
2021.06,14091.725,6
2021.09,14374.894,6
2021.12,14883.736,6
2022.03,15256.977,6
2022.06,16064.15,6
2022.09,17837.901,6
2022.12,16917.391,6
2023.03,16241.765,6
2023.06,16639.965,6
2023.09,15931.44,6
2023.12,15554.248,6
2016.06,10658.37,6
2016.09,10755.123,6
2016.12,10932.143,6
2017.03,11382.544,6
2017.06,11956.891,6
2017.09,12362.032,6
2017.12,12341.398,6
2018.03,12321.209,6
2018.06,12412.745,6
2018.09,12515.991,6
2018.12,12688.235,6
2019.03,12937.422,6
2019.06,13013.109,6
2019.09,13223.251,6
2019.12,13763.173,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,586.399,6
2016.09,577.941,6
2016.12,571.523,6
2017.03,572.279,6
2017.06,553.194,6
2017.09,541.03,6
2017.12,592.754,6
2018.03,530.018,6
2018.06,556.048,6
2018.09,541.341,6
2018.12,565.895,6
2019.03,527.25,6
2019.06,549.739,6
2019.09,524.132,6
2019.12,516.651,6
2020.03,444.847,6
2020.06,348.318,6
2020.09,503.119,6
2020.12,475.924,6
2021.03,468.887,6
2021.06,490.221,6
2021.09,451.072,6
2021.12,529.063,6
2022.03,512.511,6
2022.06,527.968,6
2022.09,537.211,6
2022.12,547.353,6
2023.03,502.576,6
